idiom,label,count
"mov rsi, rax  | * | movdqu xmm3, ds:g[rsi] ",icc,1
"loc_401501:   | * | pcmpeqd xmm3, xmm1 ",icc,1
"movdqu xmm3, ds:g[rsi]  | * | add rsi, 10h ",icc,1
"pcmpeqd xmm3, xmm1  | * | movdqa xmm4, ds:c2[rdi*4] ",icc,1
"add rsi, 10h  | * | pxor xmm3, xmm2 ",icc,1
"movdqa xmm4, ds:c2[rdi*4]  | * | psubd xmm4, xmm3 ",icc,1
"pxor xmm3, xmm2  | * | psubd xmm0, xmm3 ",icc,1
"psubd xmm4, xmm3  | * | movdqa ds:c2[rdi*4], xmm4 ",icc,1
"psubd xmm0, xmm3  | * | add rdi, 4 ",icc,1
"movdqa ds:c2[rdi*4], xmm4  | * | cmp rdi, 20h  ",icc,1
"add rdi, 4  | * | jb short loc_401501 ",icc,1
"cmp rdi, 20h   | * | movdqa xmm3, xmm0 ",icc,1
"jb short loc_401501  | * | psrldq xmm3, 8 ",icc,1
"movdqa xmm3, xmm0  | * | paddd xmm0, xmm3 ",icc,1
"psrldq xmm3, 8  | * | movdqa xmm4, xmm0 ",icc,1
"paddd xmm0, xmm3  | * | psrlq xmm4, 20h  ",icc,1
"movdqa xmm4, xmm0  | * | paddd xmm0, xmm4 ",icc,1
"psrlq xmm4, 20h   | * | movd esi, xmm0 ",icc,1
"paddd xmm0, xmm4  | * | cmp ds:dword_6133E0[rax], 0 ",icc,1
"movd esi, xmm0  | * | jz short loc_401568 ",icc,1
"cmp ds:dword_6133E0[rax], 0  | * | inc dword ptr cs:qword_613340 ",icc,1
jz short loc_401568  | * | inc esi ,icc,1
inc dword ptr cs:qword_613340  | * | loc_401568:  ,icc,1
"inc esi  | * | cmp ds:dword_6133E4[rax], 0 ",icc,1
loc_401568:   | * | jz short loc_401582 ,icc,1
"cmp ds:dword_6133E4[rax], 0  | * | inc esi ",icc,1
"jz short loc_401582  | * | mov ds:c1[rdx*4], esi ",icc,1
inc esi  | * | inc dword ptr cs:qword_613340+4 ,icc,1
"mov ds:c1[rdx*4], esi  | * | jmp short loc_401589 ",icc,1
inc dword ptr cs:qword_613340+4  | * | loc_401582:  ,icc,1
"jmp short loc_401589  | * | mov ds:c1[rdx*4], esi ",icc,1
loc_401582:   | * | loc_401589:  ,icc,1
"mov ds:c1[rdx*4], esi  | * | inc rdx ",icc,1
"loc_401589:   | * | add rax, 88h ",icc,1
"inc rdx  | * | cmp rdx, 22h  ",icc,1
"add rax, 88h  | * | jb loc_4014F3 ",icc,1
"cmp rdx, 22h   | * | mov r15d, ebx ",icc,1
"jb loc_4014F3  | * | mov edi, 80h ",icc,1
"mov r15d, ebx  | * | mov edx, r15d ",icc,1
"mov edi, 80h  | * | pxor xmm0, xmm0 ",icc,1
"mov edx, r15d  | * | mov eax, edx ",icc,1
"pxor xmm0, xmm0  | * | mov r14d, eax ",icc,1
"mov eax, edx  | * | movq cs:qword_614600, xmm0 ",icc,1
"mov r14d, eax  | * | mov r13d, r14d ",icc,1
"movq cs:qword_614600, xmm0  | * | loc_4015BB:  ",icc,1
"mov r13d, r14d  | * | pxor xmm0, xmm0 ",icc,1
"loc_4015BB:   | * | movaps ds:xmmword_614570[rdi], xmm0 ",icc,1
"pxor xmm0, xmm0  | * | movaps ds:xmmword_614560[rdi], xmm0 ",icc,1
"movaps ds:xmmword_614570[rdi], xmm0  | * | movaps ds:xmmword_614550[rdi], xmm0 ",icc,1
"movaps ds:xmmword_614560[rdi], xmm0  | * | movaps ds:xmmword_614540[rdi], xmm0 ",icc,1
"movaps ds:xmmword_614550[rdi], xmm0  | * | sub rdi, 40h  ",icc,1
"movaps ds:xmmword_614540[rdi], xmm0  | * | jnz short loc_4015BB ",icc,1
"sub rdi, 40h   | * | xor r9d, r9d ",icc,1
"jnz short loc_4015BB  | * | mov r8d, ebx ",icc,1
