idiom,label,count
__Z4readv proc near   | * | push rbp ,xcode,1
"mov [rbp+var_88], rax  | * | add rsp, 90h ",xcode,1
"mov rax, rdi  | * | pop rbp ",xcode,1
"add rsp, 90h  | * | retn ",xcode,1
pop rbp  | * | __ZNSt3__14endlIcNS_11char_traitsIcEEEERNS_13basic_ostreamIT_T0_EES7_ endp ,xcode,1
__ZNSt3__14endlIcNS_11char_traitsIcEEEERNS_13basic_ostreamIT_T0_EES7_ endp  | * | ___clang_call_terminate proc near  ,xcode,1
___clang_call_terminate proc near   | * | push rbp ,xcode,1
"mov rbp, rsp  | * | call ___cxa_begin_catch ",xcode,1
"sub rsp, 10h  | * | mov [rbp+var_8], rax ",xcode,1
call ___cxa_begin_catch  | * | call __ZSt9terminatev  ,xcode,1
"mov [rbp+var_8], rax  | * | ___clang_call_terminate endp ",xcode,1
call __ZSt9terminatev   | * | align 10h ,xcode,1
___clang_call_terminate endp  | * | __ZNSt3__16uniqueIPiNS_10__equal_toIiiEEEET_S4_S4_T0_ proc near ,xcode,1
var_80 = qword ptr -80h  | * | var_70 = qword ptr -70h ,data,1
var_78 = byte ptr -78h  | * | var_68 = qword ptr -68h ,data,1
var_68 = qword ptr -68h  | * | var_58 = qword ptr -58h ,data,1
var_50 = qword ptr -50h  | * | var_40 = qword ptr -40h ,data,1
var_40 = qword ptr -40h  | * | var_30 = qword ptr -30h ,data,1
var_38 = qword ptr -38h  | * | var_28 = qword ptr -28h ,data,1
var_30 = qword ptr -30h  | * | var_20 = qword ptr -20h ,data,1
var_28 = qword ptr -28h  | * | var_18 = qword ptr -18h ,data,1
"push rbp  | * | lea rax, [rbp+var_78] ",xcode,1
"mov rbp, rsp  | * | mov [rbp+var_68], rdi ",xcode,1
"lea rax, [rbp+var_78]  | * | mov [rbp+var_70], rsi ",xcode,1
"mov [rbp+var_68], rdi  | * | mov rsi, [rbp+var_68] ",xcode,1
"mov [rbp+var_70], rsi  | * | mov rdi, [rbp+var_70] ",xcode,1
"mov rsi, [rbp+var_68]  | * | mov [rbp+var_48], rsi ",xcode,1
"mov rdi, [rbp+var_70]  | * | mov [rbp+var_50], rdi ",xcode,1
"mov [rbp+var_48], rsi  | * | mov [rbp+var_58], rax ",xcode,1
"mov [rbp+var_50], rdi  | * | mov rax, [rbp+var_48] ",xcode,1
"mov [rbp+var_58], rax  | * | cmp rax, [rbp+var_50] ",xcode,1
"mov rax, [rbp+var_48]  | * | jz loc_100000D6B ",xcode,1
"cmp rax, [rbp+var_50]  | * | mov rax, [rbp+var_48] ",xcode,1
"jz loc_100000D6B  | * | mov [rbp+var_60], rax ",xcode,1
